index,Type of Insurer,Company Name,Year,Assets,Liabilities,Premium Written
0,HMO,Aetna Health Inc.,2016,264675036,50287241,"17,42,03,509"
1,A&H,Aetna Health Insurance Company of New York,2016,10461315,287140,"1,57,474"
2,MCH,Allegany-Cattaraugus Schools Medical Health Plan,2016,31000025,12752424,"4,52,39,771"
3,HMO,"Alphacare of New York, Inc.",2016,46967357,28389712,"13,84,75,699"
4,A&H,American Independent Network Insurance Company of New York,2016,23770607,43561275,"22,71,595"
5,HMO,"Atlantis Health Plan, Inc.",2016,2382843,3423145,"2,59,045"
6,HMO,Capital District Physicians Health Plan,2016,506939926,198568427,"1,44,53,28,230"
7,A&H,"CareConnect Insurance Company, Inc. (formerly North Shore LIJ CareConnect Insurance Company)",2016,278054898,245404525,"36,60,41,359"
8,A&H,Care Improvement Plus of South Central Insurance Company,2016,1029490809,606426571,-
9,A&H,Care Improvement Plus of TX Ins Co,2016,378924070,258073159,-654
10,HMO,"Catholic Special Needs Plan, LLC",2016,15129739,8790353,"4,84,23,769"
11,MCH,Catskill Area Schools Employees Benefit Plan,2016,25936849,5433879,"3,66,61,723"
12,MCH,Cayuga-Onondaga Area School Employees' Healthcare Plan,2016,30874548,4334663,"2,58,79,581"
13,A43,"CDPHP Universal Benefits, Inc.",2016,175309773,61562217,"69,36,83,998"
14,MCH,Chautauqua County School Districts' Medical Health Plan,2016,29270035,10386664,"5,13,55,345"
15,A&H,Commercial Travelers Mutual Insurance Company,2016,16561397,11647270,"15,66,621"
16,A&H,"Crystal Run Health Insurance Company, Inc.",2016,6720994,6377174,"97,32,015"
17,HMO,"Crystal Run Health Plan, LLC",2016,11990064,8472873,"1,34,73,766"
18,HMO,Cuatro LLC,2016,6863922,12150118,"3,61,52,592"
19,A&H,Delta Dental Insurance Company,2016,254433443,132963093,"2,21,14,337"
20,A43,"Delta Dental of New York, Inc.",2016,64502138,26732572,"16,20,45,612"
21,A43,"Dentcare Delivery Systems, Inc.",2016,17960851,7143314,"6,22,20,842"
22,A43,"Eastern Vision Service Plan, Inc.",2016,41486496,12547190,"8,88,98,347"
23,HMO,"Elderplan, Inc.",2016,189682207,133034939,"84,14,53,344"
24,A&H,"Empire HealthChoice Assurance, Inc.",2016,2501034279,1623628900,"2,19,59,45,044"
25,HMO,"Empire HealthChoice HMO, Inc.",2016,616060104,392128262,"1,37,84,35,411"
26,A&H,Envision Insurance Company,2016,309925001,260335335,"64,55,928"
27,A43,"Excellus Health Plan, Inc.",2016,3086256278,1875541355,"5,99,19,57,950"
28,A&H,"Freelancers Insurance Company, Inc.",2016,4119816,860101, -   
29,HMO,Fresenius Health Plans of New York Inc,2016,3501053,377070, -   
30,MCH,Greater Tompkins County Municipal Health Insurance Consortium,2016,24290896,5289610,"3,85,19,955"
